"COL","ROW","GhostSeverity","Key1","Key2","Key3","GhostK","ActualK","ComputedK"
0, 3, 2, 36, 16, 22,"[{H}, {Tab}, {Y}]","[]","[{CapsLck}]"
0, 3, 2, 37, 16, 23,"[{J}, {Tab}, {U}]","[]","[{CapsLck}]"
0, 3, 2, 4, 33, 1,"[{3   /}, {D}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 40, 119, 120,"[{;   :}, {F8}, {F9}]","[]","[{L}]"
0, 3, 2, 40, 26, 27,"[{;   :}, {P}, {[   {}]","[]","[{L}]"
0, 3, 2, 41, 11, 13,"[{'  "}, {0   )}, {=   +}]","[]","[{L}]"
0, 3, 2, 41, 121, 119,"[{'  "}, {F10}, {F8}]","[]","[{L}]"
0, 3, 2, 41, 26, 28,"[{'  "}, {P}, {]   }}]","[]","[{L}]"
0, 3, 2, 41, 53, 55,"[{'  "}, {,   <}, {/ ?}]","[]","[{L}]"
0, 3, 2, 43, 122, 119,"[{Enter}, {F11}, {F8}]","[]","[{L}]"
0, 3, 2, 43, 26, 29,"[{Enter}, {P}, {\   |}]","[]","[{L}]"
0, 3, 2, 48, 33, 44,"[{C}, {D}, {L-Shift}]","[]","[{CapsLck}]"
0, 3, 2, 5, 34, 1,"[{4   $}, {F}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 50, 35, 44,"[{B}, {G}, {L-Shift}]","[]","[{CapsLck}]"
0, 3, 2, 53, 103, 102,"[{,   <}, {KP 3}, {KP 6}]","[]","[{L}]"
0, 3, 2, 53, 43, 57,"[{,   <}, {Enter}, {R-Shift}]","[]","[{L}]"
0, 3, 2, 53, 54, 40,"[{,   <}, {.   >}, {;   :}]","[]","[{L}]"
0, 3, 2, 53, 86, 83,"[{,   <}, {PageDn}, {UpArrow}]","[]","[{L}]"
0, 3, 2, 53, 93, 92,"[{,   <}, {KP 1}, {KP 4}]","[]","[{L}]"
0, 3, 2, 53, 98, 97,"[{,   <}, {KP 2}, {KP 5}]","[]","[{L}]"
0, 3, 2, 6, 35, 1,"[{5   %}, {G}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 7, 36, 1,"[{6   ^}, {H}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 76, 123, 119,"[{Delete}, {F12}, {F8}]","[]","[{L}]"
0, 3, 2, 76, 75, 26,"[{Delete}, {Insert}, {P}]","[]","[{L}]"
0, 3, 2, 8, 37, 1,"[{7   &}, {J}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 9, 38, 1,"[{8   *}, {K}, {`   ~}]","[]","[{CapsLck}]"
0, 3, 2, 92, 91, 26,"[{KP 4}, {KP 7}, {P}]","[]","[{L}]"
0, 3, 2, 97, 96, 26,"[{KP 5}, {KP 8}, {P}]","[]","[{L}]"
0, 3, 3, 31, 44, 46,"[{A}, {L-Shift}, {Z}]","[]","[{CapsLck}]"
0, 3, 3, 31, 58, 59,"[{A}, {L-Ctrl}, {L-GUI}]","[]","[{CapsLck}]"
0, 3, 3, 34, 44, 49,"[{F}, {L-Shift}, {V}]","[]","[{CapsLck}]"
0, 3, 3, 35, 58, 61,"[{G}, {L-Ctrl}, {Space}]","[]","[{CapsLck}]"
0, 3, 3, 36, 44, 51,"[{H}, {L-Shift}, {N}]","[]","[{CapsLck}]"
0, 3, 3, 37, 44, 52,"[{J}, {L-Shift}, {M}]","[]","[{CapsLck}]"
0, 3, 3, 38, 58, 62,"[{K}, {L-Ctrl}, {R-Alt}]","[]","[{CapsLck}]"
0, 3, 3, 44, 32, 47,"[{L-Shift}, {S}, {X}]","[]","[{CapsLck}]"
0, 3, 3, 60, 58, 32,"[{L-Alt}, {L-Ctrl}, {S}]","[]","[{CapsLck}]"
0, 4, 2, 103, 101, 26,"[{KP 3}, {KP 9}, {P}]","[]","[{,   <}]"
0, 4, 2, 103, 102, 39,"[{KP 3}, {KP 6}, {L}]","[]","[{,   <}]"
0, 4, 2, 11, 100, 103,"[{0   )}, {KP *}, {KP 3}]","[]","[{,   <}]"
0, 4, 2, 11, 15, 57,"[{0   )}, {Bkspace}, {R-Shift}]","[]","[{,   <}]"
0, 4, 2, 11, 81, 83,"[{0   )}, {End}, {UpArrow}]","[]","[{,   <}]"
0, 4, 2, 11, 93, 90,"[{0   )}, {KP 1}, {NumLck}]","[]","[{,   <}]"
0, 4, 2, 11, 95, 98,"[{0   )}, {KP /}, {KP 2}]","[]","[{,   <}]"
0, 4, 2, 110, 112, 46,"[{Esc}, {F1}, {Z}]","[]","[{L-Shift}]"
